baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_ID	condition
ACAT2	782.521908964302	-0.454425270397643	0.0463136436375256	-9.81190929295498	1.00057176581419e-22	3.20824319500257e-22	ACAT2	UNCHANGED
ACBD3	1992.91902019749	-0.226401567724171	0.0375813708468702	-6.02430306884415	1.69839856868856e-09	3.30850953761143e-09	ACBD3	UNCHANGED
ACBD4	400.795285144448	-0.335245935174111	0.0550074264857129	-6.09455770960645	1.09740438996718e-09	2.15625132839498e-09	ACBD4	UNCHANGED
ACBD5	1128.53752287081	0.10930174673398	0.0341574934217808	3.19993464931133	0.00137458751202701	0.00192572929324955	ACBD5	UNCHANGED
ACBD6	982.426900397939	-0.735356625568709	0.0356023993822353	-20.6546928950983	8.85825849676053e-95	1.17660546780967e-93	ACBD6	UNCHANGED
ACCS	1898.2684267895	0.478761005865829	0.0826025078227357	5.79596211404678	6.79305989898213e-09	1.28876684409186e-08	ACCS	UNCHANGED
ACD	678.772812044232	0.243087918442854	0.0440899599004965	5.51345292650441	3.51861178612086e-08	6.44773341079617e-08	ACD	UNCHANGED
ACE	175.459619441	0.470157336677145	0.165289431287374	2.84444887380442	0.00444883248468276	0.00598722920467302	ACE	UNCHANGED
ACER2	56.6794526520491	1.14872768968502	0.0677758666468961	16.9489192321176	1.96024144601254e-64	1.65837338780192e-63	ACER2	UNCHANGED
ACER3	1720.68288820018	0.0124975970651142	0.0537847027658425	0.232363412316767	0.816255763995194	0.835250924872627	ACER3	UNCHANGED
ACIN1	10463.884241699	-0.0133512820234846	0.0222098008404598	-0.601143707653713	0.54774427407706	0.582071772078815	ACIN1	UNCHANGED
ACLY	5714.49904480078	-0.109830693105363	0.0369193991471477	-2.97487758854407	0.00293105484969283	0.00400842151190122	ACLY	UNCHANGED
ACO1	667.932583618982	0.422818906291513	0.0502166375092607	8.41989681633977	3.76816036549104e-17	1.00746417794084e-16	ACO1	UNCHANGED
ACO2	3287.69104482025	-0.343812799693407	0.0390631140462635	-8.80146931671194	1.35036365617414e-18	3.79626596302631e-18	ACO2	UNCHANGED
ACOT1	63.6369299476397	2.34568751546323	0.0817453986825669	28.6950403725105	4.39955934705566e-181	1.23652563607325e-179	ACOT1	UP
ACOT11	504.952543615672	0.490610778618401	0.0931194140874776	5.26861969038503	1.37453405839613e-07	2.43966372181148e-07	ACOT11	UNCHANGED
ACOT13	593.669875838642	0.950089241110174	0.0594621068753651	15.9780621817118	1.81707377420677e-57	1.35906649572872e-56	ACOT13	UNCHANGED
ACOT2	247.787985253214	-0.510326732493609	0.0613998194374307	-8.31153474341493	9.44721792671804e-17	2.48785103817581e-16	ACOT2	UNCHANGED
ACOT4	52.903469119717	0.469200089659534	0.119030704389743	3.94184082220693	8.08586339006302e-05	0.000123031031489657	ACOT4	UNCHANGED
ACOT7	561.402241955354	-0.122799803141973	0.073234524120301	-1.67680209050382	0.0935811888260782	0.110288864600495	ACOT7	UNCHANGED
ACOT8	609.638791615562	0.335416999993341	0.0287576115163158	11.6635903438309	1.95616169944306e-31	8.14196310397962e-31	ACOT8	UNCHANGED
ACOT9	1085.33454679209	-0.584760456101231	0.0572532529386221	-10.2135761041931	1.72391529684694e-24	5.83647820928777e-24	ACOT9	UNCHANGED
ACOX1	1782.20649968829	0.392642306237556	0.0419239377349605	9.3655874770115	7.56283783526616e-21	2.28329863215884e-20	ACOX1	UNCHANGED
ACOX3	415.977653294691	0.407856152320106	0.0400055407558396	10.1949916090203	2.08762558700084e-24	7.05471243453491e-24	ACOX3	UNCHANGED
ACP1	2677.91199946162	-0.699179869966977	0.0354099443300149	-19.745297068268	8.80455825025112e-87	1.04362725781509e-85	ACP1	UNCHANGED
ACP2	700.157017506364	0.058275148563812	0.0668699914280343	0.871469358965417	0.383497929215883	0.418120867636393	ACP2	UNCHANGED
ACP5	370.849489700286	-0.719685910756676	0.117891089497988	-6.10466756920554	1.03014863187196e-09	2.02739051264459e-09	ACP5	UNCHANGED
ACP6	403.413150058609	0.0035354077441142	0.100204840902899	0.0352818058714357	0.971855031109248	0.975073982357746	ACP6	UNCHANGED
ACRBP	648.422073683712	-0.843803208548604	0.0817841841826536	-10.3174374970115	5.87707508275063e-25	2.0192030175613e-24	ACRBP	UNCHANGED
ACSBG1	42.0679076233727	-0.432597923652828	0.148214344610384	-2.91873181904229	0.00351458442672348	0.00476876237071289	ACSBG1	UNCHANGED
ACSF2	698.983267339992	-0.530607025057643	0.0644670912592446	-8.2306648972867	1.86177121557625e-16	4.84549286536014e-16	ACSF2	UNCHANGED
ACSF3	1514.2276122628	-0.764682434951143	0.0389881608672197	-19.6131958507966	1.19295129296269e-85	1.39582981220581e-84	ACSF3	UNCHANGED
ACSL1	8017.15520065824	-1.07007440818084	0.1154121665202	-9.27176432472178	1.830918500927e-20	5.47618383231182e-20	ACSL1	UNCHANGED
ACSL3	1635.18376572505	-0.472726908446989	0.0493085106495704	-9.58712608065982	9.05726863443402e-22	2.81074315476673e-21	ACSL3	UNCHANGED
ACSL4	3670.43480326806	0.068601126186249	0.0584747104486448	1.17317598770323	0.240725239227174	0.270100703135336	ACSL4	UNCHANGED
ACSL5	2319.81712234732	0.0742673307574894	0.0476890149905581	1.55732574414031	0.119393166175952	0.138967069820552	ACSL5	UNCHANGED
ACSL6	112.304270553857	-0.628183075581759	0.165682316195973	-3.79149139150571	0.000149745339741619	0.000224001773646414	ACSL6	UNCHANGED
ACSM3	816.409833062594	-0.376849933185068	0.112533733550422	-3.34877304160727	0.000811702573566076	0.00115798228214784	ACSM3	UNCHANGED
ACSS1	3516.32671348332	0.0630924943275711	0.0521413255576482	1.21002858390731	0.226267924851872	0.254770440940596	ACSS1	UNCHANGED
ACSS2	1502.70111467073	-0.127425844727795	0.0589398973623797	-2.16196244700501	0.0306210708891387	0.0381103375994131	ACSS2	UNCHANGED
